,Academic Year,Mobility Duration,Field of Education,Participant Country,Education Level,Participant Gender,Fewer Opportunities,Participant Age,Sending Country,Sending City,Sending Organization,Receiving Country,Receiving City,Receiving Organization
167647,2016,121,Arts,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Yes,25,France,METZ,Ecole Supérieure d'Art de Lorraine,Turkey,ISTANBUL,Sabanci University
21279,2019,42,Chemistry,Belgium,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Belgium,Geel,THOMAS MORE KEMPEN VZW,Poland,Gdansk,UNIWERSYTET GDANSKI
483552,2017,139,Business and administration,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,24,France,BELFORT,ASSOCIATION POUR LA GESTION DE L'ECOLE SUPERIEURE DES TECHNOLOGIES ET DES AFFAIRES,Germany,BIETIGHEIM-BISSINGEN,MAGNA CAR TOP SYSTEMS GmbH
347842,2017,140,Journalism and reporting,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,United Kingdom,SOUTHAMPTON,Southampton Solent University,Spain,VILLANUEVA DE GALLEGO ZARAGOZA,FUNDACION UNIVERSIDAD SAN JORGE
26018,2019,134,Economics,Czechia,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,23,Czechia,OSTRAVA PORUBA,VYSOKA SKOLA BANSKA - TECHNICKA UNIVERZITA OSTRAVA,Greece,PIRAEUS,UNIVERSITY OF PIRAEUS RESEARCH CENTER
463938,2019,195,Economics,Slovakia,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,23,Austria,KREMS,IMC FACHHOCHSCHULE KREMS GMBH,Czech Republic,Prague,Porsche Central and Eastern Europe s.r.o
21047,2021,91,Political sciences and civics,Cyprus,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,22,Cyprus,NICOSIA,UCY,Greece,Athens,-
416316,2024,60,Language acquisition,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,25,France,Caen,UNICAEN,South Korea,Seoul,Hankuk University of Foreign Studies - Asia Exchange
829047,2023,132,Management and administration,Portugal,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,19,Portugal,COIMBRA,UNIVERSIDADE DE COIMBRA,Spain,Madrid,URJC
51656,2017,186,Business and administration,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,25,Austria,Wien,WIRTSCHAFTSUNIVERSITAT WIEN,Germany,Berlin,Bayer AG
73737,2022,180,Arts,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,23,Italy,FISCIANO SA,-,France,SAINT-DENIS,Université de Paris VIII.Paris Vincennes
206893,2022,120,Languages,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,1,24,Germany,GREIFSWALD,UG,Sweden,LUND,-
404424,2017,150,Business and administration,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,29,Germany,München,TECHNISCHE UNIVERSITAET MUENCHEN,France,Talence,Groupe KEDGE Business School
499082,2019,119,Business and administration,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,23,Germany,München,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,France,Lille,UNIVERSITE CATHOLIQUE DE LILLE (Fédération Universitaire et Pluridisciplinaire de Lille)
265956,2020,150,Veterinary,Poland,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,29,Poland,OLSZTYN,UNIWERSYTET WARMINSKO MAZURSKI W OLSZTYNIE,United Kingdom,West Bromwich,Vets4Pets West Bromwich
154514,2018,60,Veterinary,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Spain,CORDOBA,UNIVERSIDAD DE CORDOBA,Germany,HANNOVER,STIFTUNG TIERAERZTLICHE HOCHSCHULE HANNOVER
713715,2019,119,Fine arts,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Yes,20,United Kingdom,EDINBURGH,THE UNIVERSITY OF EDINBURGH,Hungary,BUDAPEST,MAGYAR KEPZOMUVESZETI EGYETEM
75450,2022,141,Audio-visual techniques and media production,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,22,Italy,PALERMO,UNIPA,Spain,BURGOS,UBU
442113,2015,134,Economics,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,27,Italy,ROMA,UNIVERSITA DEGLI STUDI GUGLIELMO MARCONI - TELEMATICA,Spain,Barcelona,Camara de Comercio Italiana-Barcellona
76365,2016,130,Business and administration,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,24,Germany,Karlsruhe,KARLSRUHER INSTITUT FUER TECHNOLOGIE,Poland,Wroc?aw,POLITECHNIKA WROCLAWSKA
154963,2016,150,Languages,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Yes,25,France,Caen,UNIVERSITE DE CAEN NORMANDIE,Germany,Duisburg and Essen,UNIVERSITAET DUISBURG-ESSEN
65814,2015,123,Engineering and engineering trades,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,24,Germany,Trier,HOCHSCHULE TRIER,Ireland,Dundalk,DUNDALK INSTITUTE OF TECHNOLOGY
57934,2014,154,Environmental protection technology,Denmark,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,23,Denmark,KOBENHAVN,KOBENHAVNS UNIVERSITET,Belgium,Bruxelles,Confederation of Danish Industry
824640,2023,131,"Fashion, interior and industrial design",Poland,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,23,Poland,POZNAN,UAP,Portugal,Leiria,-
28620,2014,257,Education,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,24,Germany,BERLIN,TECHNISCHE UNIVERSITAET BERLIN,United Kingdom,EDINBURGH,THE UNIVERSITY OF EDINBURGH
